dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.794513,7.211487,6.030399,8.803034,6.425572,0.000000,5.567386
0.020000,10.927698,7.094385,6.207745,8.931545,6.425572,-0.000000,5.556658
0.020000,11.061571,6.974187,6.387661,9.060056,6.425572,0.000000,5.546590
0.020000,11.196164,6.850956,6.570147,9.188568,6.425572,0.000000,5.537207
0.020000,11.331518,6.724763,6.755204,9.317079,6.425572,-0.000000,5.528536
0.020000,11.467686,6.595681,6.942831,9.445591,6.425572,0.000000,5.520599
0.020000,11.604173,6.464328,7.132258,9.497150,2.577978,-192.379722,5.513448
0.020000,11.739594,6.332237,7.321431,9.420198,-3.847594,-321.278599,5.507162
0.020000,11.872779,6.200802,7.508550,9.291687,-6.425572,-128.898877,5.501775
0.020000,12.003491,6.070524,7.693099,9.163176,-6.425572,-0.000000,5.497262
0.020000,12.131857,5.941534,7.875077,9.034664,-6.425572,0.000000,5.493584
0.020000,12.257992,5.813952,8.054485,8.906153,-6.425572,0.000000,5.490703
0.020000,12.382005,5.687887,8.231323,8.777641,-6.425572,0.000000,5.488581
0.020000,12.503997,5.563440,8.405591,8.649130,-6.425572,-0.000000,5.487184
0.020000,12.624061,5.440702,8.577289,8.520618,-6.425572,0.000000,5.486481
0.020000,12.742284,5.319758,8.746416,8.392107,-6.425572,-0.000000,5.486440
0.020000,12.858742,5.200683,8.912973,8.263596,-6.425572,0.000000,5.487031
0.020000,12.973509,5.083550,9.076960,8.135084,-6.425572,0.000000,5.488226
0.020000,13.086647,4.968419,9.238376,8.006573,-6.425572,0.000000,5.489999
0.020000,13.198217,4.855351,9.397223,7.878061,-6.425572,-0.000000,5.492323
0.020000,13.308268,4.744396,9.553499,7.749550,-6.425572,0.000000,5.495173
0.020000,13.416847,4.635603,9.707205,7.621038,-6.425572,0.000000,5.498524
0.020000,13.523995,4.529013,9.858340,7.492527,-6.425572,0.000000,5.502354
0.020000,13.629744,4.424664,10.006906,7.364015,-6.425572,0.000000,5.506640
0.020000,13.734125,4.322590,10.152901,7.235504,-6.425572,-0.000000,5.511357
0.020000,13.837161,4.222818,10.296326,7.106993,-6.425572,0.000000,5.516486
0.020000,13.938870,4.125375,10.437181,6.978481,-6.425572,0.000000,5.522002
0.020000,14.039267,4.030280,10.575465,6.849970,-6.425572,0.000000,5.527885
0.020000,14.138362,3.937552,10.711179,6.721458,-6.425572,-0.000000,5.534114
0.020000,14.236159,3.847203,10.844323,6.592947,-6.425572,0.000000,5.540666
0.020000,14.332660,3.759242,10.974897,6.464435,-6.425572,0.000000,5.547520
0.020000,14.427863,3.673678,11.102901,6.335924,-6.425572,-0.000000,5.554655
0.020000,14.521760,3.590511,11.228334,6.207412,-6.425572,0.000000,5.562049
0.020000,14.614343,3.509742,11.351197,6.078901,-6.425572,0.000000,5.569680
0.020000,14.705599,3.431367,11.471490,5.950390,-6.425572,0.000000,5.577528
0.020000,14.795512,3.355378,11.589213,5.821878,-6.425572,0.000000,5.585571
0.020000,14.884063,3.281766,11.704365,5.693367,-6.425572,-0.000000,5.593787
0.020000,14.971231,3.210517,11.816948,5.564855,-6.425572,0.000000,5.602155
0.020000,15.056993,3.141616,11.926960,5.436344,-6.425572,0.000000,5.610653
0.020000,15.141325,3.075044,12.034401,5.307832,-6.425572,0.000000,5.619259
0.020000,15.224197,3.010778,12.139273,5.179321,-6.425572,-0.000000,5.627953
0.020000,15.305583,2.948796,12.241574,5.050810,-6.425572,0.000000,5.636712
0.020000,15.385452,2.889070,12.341305,4.922298,-6.425572,0.000000,5.645517
0.020000,15.463773,2.831571,12.438466,4.793787,-6.425572,-0.000000,5.654346
0.020000,15.540513,2.776270,12.533057,4.665275,-6.425572,0.000000,5.663179
0.020000,15.615640,2.723132,12.625077,4.536764,-6.425572,-0.000000,5.671996
0.020000,15.689120,2.672122,12.714527,4.408252,-6.425572,0.000000,5.680777
0.020000,15.760920,2.623205,12.801407,4.279741,-6.425572,-0.000000,5.689502
0.020000,15.831005,2.576343,12.885717,4.151229,-6.425572,0.000000,5.698154
0.020000,15.899343,2.531496,12.967456,4.022718,-6.425572,-0.000000,5.706713
0.020000,15.965898,2.488623,13.046626,3.894207,-6.425572,0.000000,5.715162
0.020000,16.030639,2.447684,13.123225,3.765695,-6.425572,-0.000000,5.723485
0.020000,16.093532,2.408636,13.197253,3.637184,-6.425572,0.000000,5.731664
0.020000,16.154544,2.371436,13.268712,3.508672,-6.425572,0.000000,5.739684
0.020000,16.213644,2.336043,13.337600,3.380161,-6.425572,-0.000000,5.747530
0.020000,16.270802,2.302412,13.403918,3.251649,-6.425572,0.000000,5.755189
0.020000,16.325988,2.270501,13.467666,3.123138,-6.425572,-0.000000,5.762645
0.020000,16.379172,2.240266,13.528844,2.994626,-6.425572,0.000000,5.769887
0.020000,16.430327,2.211666,13.587451,2.866115,-6.425572,0.000000,5.776902
0.020000,16.479426,2.184658,13.643489,2.737604,-6.425572,0.000000,5.783680
0.020000,16.526444,2.159201,13.696955,2.609092,-6.425572,-0.000000,5.790209
0.020000,16.571355,2.135254,13.747852,2.480581,-6.425572,0.000000,5.796480
0.020000,16.614137,2.112780,13.796179,2.352069,-6.425572,-0.000000,5.802483
0.020000,16.654768,2.091738,13.841935,2.223558,-6.425572,0.000000,5.808210
0.020000,16.693227,2.072093,13.885121,2.095046,-6.425572,0.000000,5.813653
0.020000,16.729495,2.053809,13.925737,1.966535,-6.425572,0.000000,5.818806
0.020000,16.763552,2.036852,13.963782,1.838024,-6.425572,0.000000,5.823660
0.020000,16.795383,2.021190,13.999258,1.709512,-6.425572,-0.000000,5.828211
0.020000,16.824972,2.006793,14.032163,1.581001,-6.425572,0.000000,5.832453
0.020000,16.852303,1.993632,14.062498,1.452489,-6.425572,0.000000,5.836381
0.020000,16.877363,1.981680,14.090262,1.323978,-6.425572,-0.000000,5.839990
