dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.599302,5.413438,7.268337,8.960988,-4.860934,-3.780476,5.493584
0.020000,11.723918,5.287392,7.445584,8.862339,-4.932448,-3.575719,5.490703
0.020000,11.846815,5.162462,7.620831,8.762325,-5.000688,-3.412014,5.488581
0.020000,11.968074,5.038762,7.794051,8.661027,-5.064878,-3.209468,5.487184
0.020000,12.087769,4.916401,7.965221,8.558503,-5.126242,-3.068200,5.486481
0.020000,12.205970,4.795479,8.134317,8.454816,-5.184349,-2.905370,5.486440
0.020000,12.322739,4.676088,8.301318,8.350022,-5.239684,-2.766751,5.487031
0.020000,12.438133,4.558314,8.466201,8.244167,-5.292728,-2.652188,5.488226
0.020000,12.552203,4.442236,8.628947,8.137302,-5.343248,-2.526009,5.489999
0.020000,12.664996,4.327927,8.789536,8.029458,-5.392203,-2.447744,5.492323
0.020000,12.776553,4.215455,8.947950,7.920676,-5.439095,-2.344582,5.495173
0.020000,12.886908,4.104882,9.104170,7.810985,-5.484590,-2.274767,5.498524
0.020000,12.996092,3.996266,9.258178,7.700403,-5.529079,-2.224441,5.502354
0.020000,13.104130,3.889660,9.409957,7.588961,-5.572081,-2.150097,5.506640
0.020000,13.211040,3.785112,9.559490,7.476666,-5.614763,-2.134136,5.511357
0.020000,13.316839,3.682665,9.706761,7.363550,-5.655795,-2.051579,5.516486
0.020000,13.421536,3.582359,9.851753,7.249599,-5.697563,-2.088399,5.522002
0.020000,13.525137,3.484231,9.994450,7.134831,-5.738393,-2.041530,5.527885
0.020000,13.627642,3.388311,10.134835,7.019275,-5.777814,-1.971039,5.534114
0.020000,13.729049,3.294627,10.272893,6.902882,-5.819621,-2.090315,5.540666
0.020000,13.829350,3.203204,10.408607,6.785712,-5.858517,-1.944830,5.547520
0.020000,13.928532,3.114063,10.541962,6.667720,-5.899595,-2.053881,5.554655
0.020000,14.026581,3.027219,10.672940,6.548930,-5.939535,-1.996995,5.562049
0.020000,14.123478,2.942688,10.801527,6.429331,-5.979924,-2.019443,5.569680
0.020000,14.219199,2.860477,10.927706,6.308929,-6.020105,-2.009086,5.577528
