dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.534100,6.600576,8.268077,9.396644,-8.065533,-62.208701,5.497262
0.020000,12.664411,6.469631,8.452814,9.236843,-7.990040,3.774671,5.493584
0.020000,12.792066,6.340512,8.634383,9.078479,-7.918232,3.590376,5.490703
0.020000,12.917195,6.213312,8.812813,8.921467,-7.850606,3.381307,5.488581
0.020000,13.039920,6.088117,8.988128,8.765748,-7.785938,3.233426,5.487184
0.020000,13.160353,5.965002,9.160353,8.611248,-7.724993,3.047260,5.486481
0.020000,13.278597,5.844036,9.329511,8.457912,-7.666815,2.908865,5.486440
0.020000,13.394746,5.725279,9.495624,8.305684,-7.611366,2.772475,5.487031
0.020000,13.508885,5.608785,9.658715,8.154513,-7.558589,2.638821,5.488226
0.020000,13.621092,5.494603,9.818802,8.004358,-7.507730,2.542944,5.489999
0.020000,13.731437,5.382775,9.975905,7.855173,-7.459225,2.425286,5.492323
0.020000,13.839983,5.273338,10.130044,7.706932,-7.412091,2.356670,5.495173
0.020000,13.946786,5.166324,10.281236,7.559601,-7.366521,2.278525,5.498524
0.020000,14.051897,5.061760,10.429499,7.413152,-7.322451,2.203498,5.502354
0.020000,14.155359,4.959668,10.574850,7.267572,-7.279012,2.171928,5.506640
0.020000,14.257210,4.860068,10.717307,7.122833,-7.236954,2.102925,5.511357
0.020000,14.357482,4.762971,10.856886,6.978940,-7.194665,2.114451,5.516486
0.020000,14.456204,4.668390,10.993603,6.835857,-7.154111,2.027699,5.522002
0.020000,14.553397,4.576330,11.127475,6.693589,-7.113427,2.034178,5.527885
0.020000,14.649081,4.486793,11.258518,6.552150,-7.071956,2.073585,5.534114
0.020000,14.743269,4.399778,11.386748,6.411489,-7.033043,1.945637,5.540666
0.020000,14.835971,4.315281,11.512181,6.271657,-6.991589,2.072688,5.547520
0.020000,14.927193,4.233293,11.634833,6.132613,-6.952206,1.969154,5.554655
0.020000,15.016939,4.153803,11.754721,5.994378,-6.911726,2.023990,5.562049
0.020000,15.105209,4.076796,11.871859,5.856947,-6.871564,2.008088,5.569680
0.020000,15.192000,4.002256,11.986266,5.720325,-6.831099,2.023263,5.577528
0.020000,15.277305,3.930161,12.097956,5.584516,-6.790439,2.032984,5.585571
0.020000,15.361117,3.860488,12.206947,5.449509,-6.750351,2.004443,5.593787
0.020000,15.443426,3.793210,12.313253,5.315309,-6.710000,2.017545,5.602155
0.020000,15.524220,3.728301,12.416891,5.181919,-6.669496,2.025182,5.610653
0.020000,15.603485,3.665728,12.517878,5.049330,-6.629452,2.002207,5.619259
0.020000,15.681205,3.605458,12.616229,4.917549,-6.589081,2.018525,5.627953
0.020000,15.757364,3.547456,12.711960,4.786556,-6.549651,1.971517,5.636712
0.020000,15.831945,3.491684,12.805087,4.656359,-6.509825,1.991326,5.645517
0.020000,15.904927,3.438105,12.895626,4.526933,-6.471310,1.925731,5.654346
0.020000,15.976293,3.386676,12.983591,4.398275,-6.432882,1.921421,5.663179
0.020000,16.046021,3.337356,13.068999,4.270379,-6.394843,1.901946,5.671996
0.020000,16.114091,3.290102,13.151863,4.143215,-6.358195,1.832374,5.680777
0.020000,16.180483,3.244870,13.232199,4.016777,-6.321865,1.816483,5.689502
0.020000,16.245174,3.201614,13.310019,3.891041,-6.286804,1.753058,5.698154
0.020000,16.308145,3.160289,13.385339,3.765990,-6.252574,1.711506,5.706713
0.020000,16.369373,3.120848,13.458171,3.641600,-6.219477,1.654876,5.715162
0.020000,16.428838,3.083244,13.528528,3.517848,-6.187619,1.592896,5.723485
0.020000,16.486519,3.047432,13.596422,3.394712,-6.156777,1.542087,5.731664
0.020000,16.542396,3.013364,13.661866,3.272159,-6.127688,1.454428,5.739684
0.020000,16.596448,2.980994,13.724869,3.150172,-6.099335,1.417677,5.747530
0.020000,16.648655,2.950276,13.785443,3.028718,-6.072681,1.332712,5.755189
0.020000,16.699000,2.921164,13.843599,2.907766,-6.047621,1.252985,5.762645
0.020000,16.747462,2.893613,13.899345,2.787308,-6.022895,1.236293,5.769887
0.020000,16.794025,2.867581,13.952691,2.667286,-6.001080,1.090758,5.776902
0.020000,16.838670,2.843022,14.003644,2.547695,-5.979559,1.076060,5.783680
0.020000,16.881381,2.819897,14.052215,2.428508,-5.959383,1.008798,5.790209
0.020000,16.922142,2.798163,14.098408,2.309668,-5.941966,0.870837,5.796480
0.020000,16.960939,2.777782,14.142232,2.191203,-5.923239,0.936351,5.802483
0.020000,16.997755,2.758716,14.183693,2.073031,-5.908625,0.730711,5.808210
0.020000,17.032579,2.740928,14.222796,1.955171,-5.893013,0.780573,5.813653
0.020000,17.065396,2.724383,14.259548,1.837575,-5.879772,0.662077,5.818806
0.020000,17.096194,2.709049,14.293952,1.720234,-5.867063,0.635428,5.823660
0.020000,17.124962,2.694894,14.326014,1.603100,-5.856689,0.518725,5.828211
0.020000,17.151690,2.681889,14.355738,1.486198,-5.845099,0.579500,5.832453
0.020000,17.176367,2.670006,14.383127,1.369447,-5.837547,0.377592,5.836381
0.020000,17.198985,2.659220,14.408185,1.252891,-5.827808,0.486941,5.839990
0.020000,17.219534,2.649507,14.430915,1.136486,-5.820270,0.376879,5.843277
0.020000,17.238008,2.640845,14.451318,1.020172,-5.815674,0.229829,5.846237
0.020000,17.254400,2.633215,14.469399,0.904033,-5.806967,0.435359,5.848868
0.020000,17.268703,2.626600,14.485158,0.787938,-5.804751,0.110809,5.851168
0.020000,17.280913,2.620985,14.498597,0.671966,-5.798614,0.306830,5.853134
0.020000,17.291026,2.616357,14.509718,0.556060,-5.795297,0.165864,5.854763
0.020000,17.299037,2.612704,14.518522,0.440218,-5.792102,0.159741,5.856055
0.020000,17.304943,2.610020,14.525010,0.324379,-5.791949,0.007626,5.857008
0.020000,17.308743,2.608296,14.529183,0.208633,-5.787298,0.232569,5.857622
0.020000,17.310539,2.607482,14.531155,0.098601,-5.501595,14.285138,5.857912
0.020000,17.310962,2.607291,14.531619,0.023221,-3.768993,86.630127,5.857980
0.020000,17.310962,2.607291,14.531619,0.000000,-1.161046,130.397328,5.857980
